id;assessment_date;last_modified;last_modified_by
1;2022-01-31T19:15:14;2022-02-01T00:17:05;deposit convergence Pike
2;2022-01-31T12:24:18;2022-02-01T02:10:59;Granite Shoal Botswana
3;2022-01-31T09:54:47;2022-02-01T06:25:18;Awesome quantifying Health
4;2022-01-31T18:11:43;2022-02-01T03:36:46;enable Music
5;2022-01-31T19:20:38;2022-01-31T08:59:22;applications methodologies Islands
6;2022-01-31T14:47:19;2022-01-31T17:17:05;object-oriented
7;2022-01-31T23:28:52;2022-01-31T22:28:42;compress
8;2022-01-31T07:39:55;2022-01-31T21:51:32;copying
9;2022-02-01T02:49:09;2022-01-31T20:20:00;Specialist experiences
10;2022-01-31T18:34:04;2022-01-31T15:33:27;Car
