id;ans_option;health_condition;active;last_modified;last_modified_by
1;Implementation;STABLE;true;2022-02-01T06:42:41;Sleek
2;strategic Games Computer;DEATH;true;2022-02-01T02:49:57;next
3;Account IB deliver;STABLE;true;2022-01-31T09:50:47;Reduced
4;haptic Palau Clothing;CRITICAL;true;2022-01-31T22:30:48;Andorra microchip
5;throughput Incredible SDD;RECOVERED;false;2022-01-31T09:32:17;Fall port Accounts
6;Cordoba granular internet;STABLE;false;2022-01-31T13:49:13;front-end yellow Polynesia
7;Fresh Car brand;RECOVERED;true;2022-02-01T03:31:21;CSS
8;Nevada;CRITICAL;true;2022-01-31T22:03:35;North
9;parse;CRITICAL;true;2022-02-01T05:41:35;Bhutanese Personal payment
10;Checking wireless;CRITICAL;false;2022-01-31T14:02:42;Concrete
